sequence,ax,ay,az,gx,gy,gz
0,-1985,1127,862,26,382,-307
1,-2163,997,865,45,342,300
2,-2219,1022,813,162,264,789
3,-2043,1191,759,284,116,1467
4,-1713,1197,701,290,-84,2278
5,-1343,994,589,239,-315,2742
6,-994,808,454,244,-561,2967
7,-648,723,335,266,-800,3093
8,-327,644,249,249,-994,3053
9,-39,505,191,200,-1124,3081
10,344,291,140,177,-1203,3383
11,766,139,89,210,-1210,3551
12,1065,103,77,255,-1132,3382
13,1424,-1,29,316,-986,3651
14,1915,-48,17,401,-789,4172
15,2186,81,40,394,-487,3817
16,2159,133,57,270,-98,3381
17,2227,-78,63,125,248,3798
18,2481,-403,72,61,527,4249
19,2533,-530,106,61,752,4005
20,2288,-532,156,16,800,3775
21,2112,-535,218,-86,675,3812
22,2190,-793,305,-241,535,3836
23,2376,-1321,335,-343,423,4006
24,2304,-1665,327,-248,265,4247
25,2184,-1644,336,-64,40,4295
26,2206,-1528,351,23,-189,3816
27,2368,-1528,357,-61,-287,3249
28,2548,-1799,346,-196,-221,3507
29,2672,-2135,328,-214,-43,3886
30,2775,-2258,326,-117,145,3571
31,2813,-2151,370,-64,290,2706
32,2743,-1981,432,-137,407,1945
33,2562,-1792,467,-253,436,1663
34,2413,-1490,559,-341,320,1138
35,2377,-1113,734,-465,103,295
36,2413,-1000,894,-609,-148,-61
37,2537,-1197,973,-623,-386,-61
38,2753,-1413,1004,-423,-579,-327
39,2981,-1539,976,-114,-684,-944
40,3153,-1488,882,157,-649,-1494
41,3266,-1402,738,294,-511,-1932
42,3339,-1315,601,285,-332,-2486
43,3375,-1293,480,144,-137,-2954
44,3393,-1417,380,-47,52,-3247
45,3353,-1638,303,-175,193,-3470
46,3254,-1743,210,-211,242,-3644
47,3119,-1691,143,-219,186,-3715
48,3005,-1617,83,-227,101,-3932
49,2875,-1453,42,-231,57,-4363
50,2711,-1238,12,-259,46,-4583
51,2517,-1075,-16,-314,92,-4548
52,2293,-987,-30,-355,180,-4458
53,2070,-880,-29,-357,246,-4385
54,1906,-733,-23,-348,295,-4336
55,1702,-597,-16,-348,359,-4276
56,1472,-483,-14,-348,387,-4302
57,1370,-419,-13,-334,344,-4081
58,1223,-319,5,-281,280,-3847
59,933,-121,40,-210,170,-3906
60,721,98,67,-154,-38,-3919
61,562,325,107,-132,-278,-3819
62,439,572,150,-161,-488,-3838
63,323,771,197,-254,-646,-3838
64,194,847,240,-369,-745,-3780
65,14,864,308,-431,-759,-3604
66,-273,873,417,-406,-662,-3302
67,-610,940,577,-349,-446,-2782
68,-1044,1126,755,-378,-131,-2161
69,-1474,1219,892,-566,210,-1510
70,-1693,1067,976,-762,538,-1035
71,-1757,850,943,-825,826,-295
72,-1713,745,888,-707,1031,661
73,-1612,743,805,-468,1097,1781
74,-1453,836,729,-217,963,2736
75,-1252,961,664,-104,622,3062
76,-992,990,609,-174,161,2919
77,-657,781,547,-296,-286,2943
78,-299,435,471,-285,-649,3282
79,71,170,417,-100,-933,3496
80,417,66,365,178,-1147,3603
81,712,75,321,450,-1281,3712
82,1000,113,289,646,-1347,3701
83,1376,133,254,745,-1343,3738
84,1776,-16,206,780,-1240,3923
