sequence,ax,ay,az,gx,gy,gz
0,-2675,738,1220,-185,218,764
1,-2765,664,1299,-325,92,739
2,-2861,578,1373,-386,-77,847
3,-2866,529,1405,-361,-267,1031
4,-2805,492,1419,-293,-456,1167
5,-2726,447,1426,-207,-623,1307
6,-2591,359,1433,-84,-722,1465
7,-2438,253,1442,101,-725,1593
8,-2300,234,1455,343,-641,1690
9,-2198,283,1478,595,-497,1739
10,-2178,316,1496,822,-316,1760
11,-2286,333,1486,1026,-152,1743
12,-2419,364,1469,1228,-63,1695
13,-2456,437,1444,1412,-43,1707
14,-2455,543,1392,1550,-40,1838
15,-2497,649,1335,1631,-51,1942
16,-2483,779,1271,1636,-109,1947
17,-2354,880,1211,1553,-179,1927
18,-2194,931,1141,1428,-222,1856
19,-2118,976,1071,1291,-215,1818
20,-2098,1015,1029,1138,-188,1790
21,-2063,1011,987,963,-197,1741
22,-1995,957,929,777,-257,1694
23,-1932,922,878,615,-351,1565
24,-1832,921,841,490,-468,1390
25,-1690,924,805,376,-582,1350
26,-1542,916,776,274,-688,1357
27,-1433,919,743,199,-794,1332
28,-1294,947,715,151,-883,1311
29,-1071,996,698,125,-928,1259
30,-832,996,701,102,-923,1205
31,-739,956,661,86,-885,1291
32,-650,899,622,90,-846,1374
33,-472,853,603,122,-801,1269
34,-292,807,587,163,-713,1145
35,-201,746,545,205,-591,1112
36,-99,699,485,249,-498,1051
37,47,641,428,295,-444,862
38,166,626,326,328,-384,719
39,317,626,254,326,-299,558
40,482,608,214,295,-169,280
41,556,566,173,259,9,38
42,509,471,131,228,194,-90
43,402,363,91,205,340,-101
44,302,285,70,189,441,-134
45,221,226,91,169,513,-293
46,91,196,116,133,573,-533
47,-61,213,161,76,628,-865
48,-265,223,213,0,671,-1268
49,-536,230,250,-96,677,-1525
50,-810,250,300,-203,630,-1666
51,-1054,270,387,-309,560,-1847
52,-1288,280,501,-418,502,-2030
53,-1619,283,604,-518,434,-2159
54,-1984,291,691,-591,317,-2142
55,-2269,327,779,-649,129,-2025
56,-2317,458,926,-732,-61,-1932
57,-2115,664,1194,-850,-127,-2254
58,-2067,833,1360,-977,-19,-2792
59,-2146,922,1416,-1104,201,-2801
60,-2252,948,1497,-1180,451,-2630
61,-2547,946,1535,-1153,668,-2696
62,-2697,933,1560,-1043,806,-2736
63,-2696,896,1515,-882,866,-2771
64,-2873,860,1449,-744,873,-2614
65,-3106,841,1390,-627,798,-2220
66,-3155,833,1336,-511,631,-1962
67,-2978,819,1330,-444,470,-1937
68,-2916,788,1346,-434,396,-2020
69,-3045,728,1310,-421,351,-1933
70,-3126,677,1245,-366,252,-1671
71,-3017,642,1175,-292,113,-1562
72,-2825,619,1111,-262,9,-1553
73,-2692,584,1044,-295,-41,-1442
74,-2622,553,991,-364,-49,-1244
75,-2571,537,965,-434,-33,-1131
76,-2558,526,935,-485,-26,-1111
77,-2588,497,875,-511,-65,-1038
78,-2614,524,823,-488,-141,-905
79,-2550,622,826,-359,-184,-1044
80,-2535,772,853,-94,-126,-1177
81,-2546,952,856,256,-32,-796
82,-2532,1112,809,581,16,-32
83,-2446,1208,751,781,13,647
84,-2318,1260,737,835,21,985
85,-2269,1323,744,758,84,1126
86,-2351,1345,771,546,175,1328
87,-2505,1304,808,263,246,1539
88,-2668,1203,850,9,280,1537
89,-2794,1038,916,-168,272,1460
90,-2895,909,969,-227,209,1401
91,-2991,833,1013,-139,136,1461
92,-3033,746,1083,51,110,1822
93,-3143,652,1120,255,93,2331
94,-3245,626,1119,439,58,2516
95,-3213,635,1145,616,40,2226
96,-3087,643,1171,777,81,2069
97,-3010,631,1150,905,140,2295
98,-3044,637,1082,997,158,2617
99,-3045,664,1044,1047,128,2698
100,-3013,706,1012,1036,74,2529
101,-2914,755,990,957,8,2292
102,-2758,781,968,843,-74,2108
103,-2595,777,945,728,-156,2101
104,-2475,747,907,626,-235,2148
105,-2323,684,864,528,-319,2110
106,-2189,622,821,439,-415,1943
107,-2052,619,771,367,-513,1781
108,-1862,615,736,326,-604,1627
109,-1707,618,684,305,-680,1577
110,-1560,642,619,290,-747,1625
111,-1328,645,583,270,-799,1686
112,-1129,631,542,250,-821,1666
113,-985,616,466,247,-810,1642
114,-822,611,402,260,-779,1587
115,-618,631,355,280,-732,1434
116,-406,666,295,299,-683,1251
117,-246,677,225,306,-650,1209
118,-115,716,169,299,-620,1225
119,38,771,125,284,-590,997
120,218,789,93,251,-547,633
121,368,773,83,183,-457,483
122,485,702,89,73,-294,608
123,548,556,76,-61,-90,711
124,525,392,39,-167,94,477
125,441,262,18,-213,249,8
126,322,180,13,-200,393,-486
127,163,141,17,-142,527,-840
128,-11,126,13,-57,627,-1007
129,-201,149,8,25,683,-1045
130,-312,174,30,66,692,-1095
131,-413,194,78,65,680,-1278
132,-589,237,109,33,689,-1588
133,-754,301,131,-53,723,-1833
134,-881,335,174,-195,759,-1995
135,-1135,297,218,-366,797,-2079
136,-1431,266,275,-528,832,-2202
137,-1793,285,360,-662,847,-2525
138,-2125,331,468,-792,855,-2799
139,-2387,368,626,-905,864,-2946
140,-2673,412,798,-966,876,-3007
141,-2989,478,907,-936,857,-3043
142,-3194,581,903,-860,744,-2980
143,-3221,540,1016,-795,539,-2891
144,-3299,578,1083,-696,369,-2678
145,-3355,702,1064,-581,309,-2478
146,-3188,669,1132,-500,315,-2543
147,-3136,547,1163,-444,334,-2632
148,-3328,535,1114,-361,379,-2454
149,-3424,590,1036,-234,412,-2391
150,-3313,535,1009,-131,352,-2424
151,-3247,391,1005,-84,205,-2161
152,-3288,417,947,-31,69,-1733
153,-3256,496,915,48,-14,-1772
154,-3166,509,848,53,-78,-1765
155,-3025,436,781,-93,-180,-1304
156,-2893,275,740,-288,-314,-1127
157,-2785,97,698,-405,-393,-1330
158,-2713,33,673,-431,-375,-1398
159,-2656,94,656,-403,-327,-1358
160,-2630,178,642,-373,-324,-1260
161,-2723,222,616,-374,-384,-975
162,-2861,402,625,-312,-446,-867
163,-2814,687,675,-58,-413,-1272
164,-2614,971,737,338,-216,-1278
165,-2340,1104,778,784,71,-695
166,-2430,1141,568,1152,286,119
167,-2614,1218,354,1281,349,1143
168,-2664,1237,282,1160,255,1644
169,-2690,1192,315,870,121,1706
170,-2734,1233,408,488,68,1756
171,-2793,1273,482,37,102,1709
172,-2843,1131,540,-444,192,1637
173,-2999,840,584,-822,294,1638
174,-3295,572,603,-964,345,1638
175,-3552,389,633,-874,313,1714
176,-3627,246,676,-631,202,1914
177,-3585,100,691,-318,13,2166
178,-3510,76,692,0,-203,2475
179,-3350,192,715,272,-352,2597
180,-3149,340,742,440,-386,2517
181,-2945,464,802,484,-325,2459
182,-2858,537,839,454,-208,2377
183,-2950,581,795,419,-83,2303
184,-2983,583,767,373,-7,2468
185,-2902,550,781,300,-29,2571
186,-2847,485,781,213,-116,2501
187,-2725,418,781,144,-215,2414
188,-2570,387,751,124,-305,2242
189,-2388,399,706,130,-403,2098
190,-2164,391,685,152,-515,2027
191,-1994,398,649,199,-608,2004
192,-1789,446,607,250,-674,1977
193,-1544,490,600,288,-713,1881
194,-1331,517,586,314,-700,1844
195,-1149,530,564,314,-646,1900
196,-996,538,536,299,-583,1926
197,-910,566,497,278,-520,1882
198,-764,597,482,258,-461,1730
199,-592,595,484,232,-413,1516
200,-482,582,454,187,-379,1396
201,-390,557,400,117,-363,1353
202,-277,525,342,42,-364,1234
203,-132,488,279,-37,-379,1001
204,62,439,231,-137,-406,783
205,269,379,217,-265,-433,618
206,378,319,203,-388,-440,348
207,406,256,160,-481,-398,-31
208,417,171,130,-552,-283,-339
209,388,84,116,-593,-114,-553
210,286,1,115,-584,74,-803
211,101,-79,120,-521,267,-1070
212,-111,-144,122,-425,452,-1248
213,-298,-184,143,-318,603,-1353
214,-536,-211,204,-209,699,-1519
215,-877,-211,295,-103,741,-1751
216,-1312,-163,404,-28,723,-1911
217,-1747,-44,537,-4,613,-2038
218,-2101,121,662,-30,408,-2288
219,-2289,275,791,-150,178,-2464
220,-2375,469,935,-339,-5,-2626
221,-2352,682,1034,-567,-111,-2897
222,-2225,811,1146,-858,-121,-3069
223,-2242,840,1207,-1153,0,-3053
224,-2330,772,1251,-1368,223,-3004
225,-2421,648,1294,-1505,436,-3021
226,-2542,444,1345,-1582,573,-2974
227,-2799,227,1370,-1532,674,-2756
228,-2982,101,1429,-1313,803,-2523
229,-3026,72,1473,-980,923,-2493
230,-3082,128,1464,-634,972,-2440
231,-3161,107,1483,-339,952,-2224
232,-3294,137,1433,-74,904,-1899
233,-3367,231,1339,187,847,-1765
234,-3278,319,1247,388,771,-1754
235,-3175,401,1187,453,632,-1625
236,-3092,512,1120,396,441,-1404
237,-2947,470,1071,290,289,-1355
238,-2889,315,961,164,195,-1177
239,-2894,163,805,20,93,-726
240,-2814,101,720,-127,-37,-566
241,-2615,71,694,-267,-173,-880
242,-2424,46,662,-409,-283,-1078
243,-2325,-6,605,-523,-329,-1016
244,-2329,-94,549,-543,-275,-932
245,-2358,-173,559,-428,-117,-976
246,-2453,-82,601,-167,93,-1118
247,-2506,156,595,203,288,-1234
248,-2459,309,609,564,416,-1034
249,-2425,423,524,836,424,-282
250,-2449,572,387,970,310,674
251,-2406,692,358,969,169,1124
252,-2404,829,371,835,93,1127
253,-2477,970,424,565,98,1188
254,-2555,1053,475,181,159,1379
255,-2644,1032,510,-256,241,1468
256,-2800,945,565,-682,316,1429
257,-3019,797,662,-1052,361,1434
258,-3243,581,708,-1299,338,1548
259,-3479,366,714,-1365,225,1692
260,-3623,177,779,-1257,35,1745
261,-3667,27,820,-1029,-202,1814
262,-3534,-13,836,-761,-434,2032
263,-3263,-25,887,-502,-613,2115
264,-3077,-51,967,-261,-695,2186
265,-3045,-8,1008,-18,-652,2427
266,-3018,54,1036,221,-534,2522
267,-2973,103,1031,414,-417,2406
268,-2981,152,1001,524,-348,2361
269,-2994,209,980,564,-344,2410
270,-2960,253,948,567,-400,2362
271,-2881,289,918,545,-478,2238
272,-2765,326,906,519,-547,2094
273,-2601,359,877,493,-620,1977
274,-2403,394,830,465,-693,2009
275,-2169,442,807,432,-739,2071
276,-1962,498,807,396,-742,2049
277,-1819,500,799,356,-729,2067
278,-1758,473,747,305,-732,2220
279,-1644,456,685,251,-767,2285
280,-1461,449,642,207,-812,2100
281,-1180,458,637,177,-836,1814
282,-935,442,622,170,-814,1560
283,-732,402,609,180,-728,1509
