sequence,ax,ay,az,gx,gy,gz
0,379,1318,-341,476,-543,-138
1,425,1434,-347,465,-479,-202
2,435,1480,-368,438,-416,-129
3,442,1496,-338,392,-349,-50
4,413,1514,-383,309,-257,-131
5,399,1618,-501,268,-192,-136
6,448,1788,-553,269,-196,108
7,558,1995,-511,204,-214,148
8,647,2098,-540,36,-206,-88
9,671,2169,-620,-151,-180,-280
10,671,2278,-597,-304,-149,-252
11,714,2365,-454,-482,-85,-136
12,695,2281,-291,-691,21,-162
13,605,2020,-206,-815,103,-397
14,511,1811,-200,-753,137,-620
15,483,1882,-204,-549,165,-544
16,500,2137,-172,-360,232,-201
17,534,2360,-106,-324,336,143
18,518,2347,-41,-437,442,243
19,456,2178,-1,-522,483,99
20,418,2066,46,-480,449,-1
21,439,2114,75,-354,376,73
22,497,2282,80,-221,299,118
23,587,2473,48,-153,241,92
24,688,2677,2,-186,223,104
25,783,2831,-69,-305,236,49
26,776,2853,-176,-420,248,-204
27,686,2818,-286,-426,227,-350
28,586,2818,-363,-297,152,-254
29,562,2816,-425,-94,36,33
30,599,2807,-486,143,-89,228
31,655,2923,-501,364,-197,163
32,715,3060,-482,477,-257,-61
33,737,2936,-486,487,-249,-103
34,716,2672,-478,549,-209,61
35,701,2586,-471,700,-178,107
36,718,2719,-484,807,-162,37
37,734,2762,-462,762,-137,6
38,712,2569,-455,622,-86,86
39,683,2363,-457,547,-49,124
40,683,2262,-416,547,-47,53
41,656,2065,-377,567,-67,28
42,656,1983,-375,646,-94,41
43,700,2121,-368,710,-102,13
44,757,2201,-378,628,-64,21
45,782,2121,-396,439,27,-89
46,695,1868,-429,271,140,-267
47,551,1657,-460,231,222,-339
48,470,1625,-493,288,262,-241
49,473,1755,-516,312,301,-100
50,492,1865,-532,199,361,-56
51,461,1776,-541,-9,430,-58
52,424,1652,-518,-156,467,-98
53,390,1592,-498,-232,484,-203
54,332,1501,-472,-267,498,-160
55,297,1444,-435,-259,502,10
56,303,1481,-362,-264,517,65
57,244,1423,-307,-316,555,-36
58,106,1272,-310,-337,568,-43
59,-32,1110,-300,-226,501,166
60,-23,1179,-262,-24,362,357
61,105,1508,-235,37,242,179
62,159,1631,-173,-198,223,-52
63,33,1267,-151,-526,277,-72
64,-160,802,-148,-608,271,-69
65,-256,633,-142,-407,153,-103
66,-225,759,-124,-121,-14,1
67,-140,955,-132,58,-145,114
68,-76,1103,-203,93,-231,103
69,-69,1115,-288,60,-310,75
70,-64,1063,-328,64,-414,125
71,-5,1079,-387,126,-528,140
72,99,1201,-404,180,-614,120
73,161,1294,-394,93,-620,6
74,193,1267,-513,-36,-590,-164
75,230,1271,-631,-9,-607,-222
76,282,1386,-554,97,-640,-270
77,318,1533,-390,67,-579,-356
78,274,1496,-392,-123,-422,-326
79,254,1481,-493,-203,-316,-167
80,328,1645,-469,-123,-291,39
81,429,1892,-350,-127,-221,76
82,450,2019,-251,-314,-63,11
83,381,1982,-296,-532,71,-6
84,342,1936,-313,-572,66,148
